"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",0.044,0.014,0.044,0.041,0.041,0.0277,0.019,0.024,0.012,0.0225,0.0208,0.019,0.024,0.064,0.023,0.012,0.019,0.0156,0.024,0.017,0.014,0.0277,0.036,0.019,0.012,0.064,0.0208,0.05,0.019,0.023,NA
"2",0.012,0.044,0.025,0.0208,0.0225,0.017,0.034,0.064,0.077,0.064,0.0208,0.0225,0.072,0.072,0.019,0.018,0.034,0.023,0.064,0.023,0.023,0.023,0.0277,0.024,0.014,0.05,0.023,0.017,0.014,0.024,NA
"3",0.05,0.012,0.0156,0.014,0.019,0.012,0.018,0.017,0.018,0.023,0.064,0.0468,0.023,0.014,0.019,0.012,0.041,0.019,0.019,0.024,0.064,0.024,0.0208,0.023,0.014,0.017,0.0156,0.025,0.023,0.064,NA
"4",0.014,0.0468,0.044,0.0208,0.044,0.064,0.0277,0.0277,0.0156,0.0225,0.041,0.0208,0.044,0.0208,0.025,0.0208,0.064,0.025,0.018,0.014,0.014,0.014,0.019,0.0468,0.0277,0.05,0.024,0.041,0.024,0.014,NA
"5",0.023,0.019,0.072,0.019,0.023,0.0277,0.017,0.072,0.0277,0.024,0.025,0.044,0.041,0.019,0.018,0.077,0.036,0.05,0.025,0.018,0.024,0.014,0.018,0.012,0.024,0.0468,0.036,0.05,0.05,0.025,NA
"6",0.023,0.023,0.024,0.017,0.0208,0.0277,0.064,0.019,0.023,0.017,0.072,0.014,0.036,0.019,0.044,0.019,0.0208,0.017,0.014,0.0156,0.019,0.025,0.0225,0.019,0.034,0.036,0.018,0.041,0.0277,0.017,NA
"7",0.0156,0.05,0.025,0.064,0.024,0.0277,0.036,0.034,0.014,0.014,0.036,0.041,0.041,0.014,0.019,0.0277,0.017,0.023,0.077,0.014,0.05,0.014,0.023,0.019,0.0156,0.041,0.077,0.044,0.05,0.019,NA
"8",0.0277,0.014,0.023,0.041,0.0156,0.064,0.0468,0.018,0.019,0.0468,0.044,0.017,0.044,0.034,0.0468,0.018,0.023,0.024,0.017,0.018,0.036,0.0468,0.017,0.0468,0.0156,0.036,0.044,0.077,0.077,0.064,NA
"9",0.024,0.0277,0.023,0.014,0.014,0.017,0.077,0.041,0.0277,0.012,0.014,0.014,0.0468,0.024,0.044,0.024,0.024,0.041,0.023,0.044,0.0225,0.077,0.012,0.05,0.077,0.064,0.014,0.064,0.014,0.0277,NA
"10",0.05,0.023,0.019,0.023,0.064,0.019,0.0277,0.041,0.014,0.014,0.0208,0.0208,0.072,0.064,0.064,0.0468,0.023,0.024,0.05,0.0208,0.014,0.064,0.0468,0.044,0.0225,0.014,0.023,0.036,0.0156,0.019,NA
"11",0.0277,0.05,0.077,0.064,0.077,0.072,0.036,0.034,0.044,0.023,0.0277,0.041,0.036,0.014,0.019,0.018,0.0225,0.019,0.0277,0.023,0.024,0.044,0.0208,0.05,0.014,0.025,0.023,0.077,0.072,0.036,NA
"12",0.0156,0.014,0.044,0.072,0.041,0.023,0.0208,0.0156,0.019,0.019,0.0156,0.019,0.012,0.034,0.077,0.077,0.0156,0.012,0.023,0.036,0.0156,0.05,0.034,0.036,0.019,0.018,0.024,0.017,0.0156,0.0277,NA
"13",0.018,0.072,0.0208,0.014,0.019,0.023,0.036,0.0225,0.044,0.077,0.0225,0.064,0.0277,0.041,0.023,0.0208,0.0225,0.0277,0.025,0.0225,0.0225,0.018,0.036,0.0208,0.064,0.05,0.0225,0.0468,0.024,0.018,NA
"14",0.034,0.014,0.023,0.072,0.0225,0.0468,0.019,0.018,0.023,0.0156,0.0156,0.077,0.018,0.05,0.036,0.064,0.014,0.019,0.017,0.041,0.019,0.023,0.019,0.023,0.023,0.0208,0.017,0.0225,0.064,0.034,NA
"15",0.041,0.024,0.014,0.041,0.019,0.036,0.024,0.023,0.025,0.023,0.0277,0.041,0.018,0.077,0.019,0.034,0.072,0.0208,0.064,0.024,0.0208,0.0156,0.023,0.024,0.023,0.0277,0.018,0.017,0.019,0.034,NA
"16",0.014,0.014,0.024,0.0468,0.024,0.072,0.014,0.019,0.072,0.05,0.064,0.024,0.05,0.0208,0.017,0.024,0.023,0.05,0.0208,0.064,0.044,0.077,0.024,0.036,0.024,0.034,0.05,0.05,0.012,0.0208,NA
"17",0.034,0.017,0.0208,0.064,0.036,0.077,0.019,0.034,0.034,0.072,0.0277,0.019,0.014,0.0156,0.041,0.012,0.034,0.025,0.025,0.044,0.041,0.077,0.025,0.0277,0.064,0.018,0.036,0.05,0.0156,0.023,NA
"18",0.0225,0.017,0.012,0.023,0.05,0.072,0.05,0.0208,0.025,0.014,0.077,0.044,0.0208,0.034,0.017,0.014,0.0208,0.0277,0.0277,0.044,0.012,0.072,0.019,0.012,0.017,0.023,0.0277,0.0277,0.014,0.05,NA
"19",0.014,0.0225,0.025,0.0277,0.072,0.025,0.025,0.014,0.018,0.017,0.019,0.044,0.05,0.077,0.023,0.012,0.019,0.023,0.0156,0.014,0.019,0.044,0.036,0.044,0.034,0.017,0.0225,0.0277,0.019,0.025,NA
"20",0.072,0.0225,0.023,0.019,0.072,0.024,0.041,0.024,0.025,0.05,0.014,0.018,0.019,0.0468,0.023,0.019,0.014,0.014,0.072,0.023,0.077,0.0468,0.044,0.0277,0.05,0.019,0.072,0.077,0.0277,0.023,NA
"21",0.012,0.0156,0.0277,0.0277,0.012,0.019,0.0156,0.041,0.012,0.044,0.0277,0.05,0.036,0.025,0.044,0.014,0.019,0.0277,0.034,0.025,0.024,0.041,0.034,0.0225,0.019,0.023,0.024,0.025,0.064,0.0277,NA
"22",0.017,0.024,0.0277,0.044,0.019,0.0277,0.044,0.064,0.072,0.019,0.023,0.019,0.036,0.023,0.05,0.034,0.0277,0.0156,0.019,0.064,0.019,0.024,0.077,0.024,0.064,0.019,0.025,0.0468,0.012,0.014,NA
"23",0.025,0.0225,0.05,0.0225,0.019,0.024,0.064,0.019,0.044,0.017,0.012,0.041,0.025,0.05,0.077,0.014,0.025,0.0277,0.019,0.0208,0.077,0.044,0.036,0.064,0.019,0.019,0.024,0.017,0.024,0.012,NA
