
SpawnerYr	FosterCount	SmoltYr	passprob	femalesmolts	smoltsurvival	Adults

1991	419	1993	0.334	8541	1.56	33
1992	419	1994	0.331	8457	1.90	161
1993	419	1995	0.333	8503	2.08	177
1994	419	1996	0.336	8576	2.77	238
1995	419	1997	0.335	8563	1.90	163
1996	419	1998	0.332	8474	2.77	235
1997	419	1999	0.334	8535	4.68	399
1998	239	2000	0.331	4813	7.70	371
1999	225	2001	0.330	4519	2.30	104
2000	235	2002	0.333	4768	1.80	86
2001	364	2003	0.334	7415	2.25	167
2002	432	2004	0.331	8711	1.4	118
2003	268	2005	0.330	5384	1.4	73
2004	125	2006	0.333	2527	3.4	85
2005	148	2007	0.331	3000	5.0	148
2006	0	2008	0.332	3189	7.2	230
2007	0	2009	0.333	2258	6.4	145
2008	0	2010	0.331	1889	4.1	77
2009	0	2011	0.333	2740	2.3	63
2010	230	2012	0.333	4377	4.4	193
2011	169	2013	0.331	4206	3.6	149
2012	152	2014	0.333	2648	2.4	64
2013	144	2015	0.330	1691	1.2	21
2014	106	2016	0.331	3053	2.5	77
2015	72	2017	0.333	3812	1.7	65
2016	99	2018	0.331	2482	2.4	59
