x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.695663745782118,0.2424,0.906284192003802,0.7576
1948,0.67411939282217,0.2424,0.878217030774062,0.7576
1949,0.669563846586983,0.2424,0.872282238909566,0.7576
1950,0.668410635964127,0.2424,0.870779880099176,0.7576
1951,0.688105647662299,0.2424,0.896437790075949,0.7576
1952,0.680178290180967,0.2424,0.886110331137267,0.7576
1953,0.674010762229399,0.2424,0.878075510981499,0.7576
1954,0.693379745100671,0.2424,0.903308683038915,0.7576
1955,0.666374183489185,0.2424,0.86812686749503,0.7576
1956,0.668635809512973,0.2424,0.871073227609396,0.7576
1957,0.689609355950104,0.2424,0.898396763874549,0.7576
1958,0.69036323796306,0.2424,0.899378892604299,0.7576
1959,0.680591203074674,0.2424,0.886648258304683,0.7576
1960,0.665335556440077,0.2424,0.866773783793744,0.7576
1961,0.683257787811026,0.2424,0.890122183182682,0.7576
1962,0.67449083206496,0.2424,0.878700927651067,0.7576
1963,0.672167094244527,0.2424,0.875673650657278,0.7576
1964,0.675923587510453,0.2424,0.88056746679319,0.7576
1965,0.705711739374942,0.2424,0.919374334777151,0.7576
1966,0.689164480076287,0.2424,0.897817196555871,0.7576
1967,0.698363346088719,0.2424,0.909801128307346,0.7576
1968,0.705663412527671,0.2424,0.919311376403948,0.7576
1969,0.673392401051117,0.2424,0.877269933625739,0.7576
1970,0.689510109798519,0.2424,0.898267469773997,0.7576
1971,0.669045013662482,0.2424,0.87160632316634,0.7576
1972,0.670217272676755,0.2424,0.87313349749447,0.7576
1973,0.714855390305632,0.2424,0.931286334426306,0.7576
1974,0.671362906296881,0.2424,0.874625985274727,0.7576
1975,0.684207296371783,0.2424,0.891359166716757,0.7576
1976,0.681131431817775,0.2424,0.88735204770424,0.7576
1977,0.693558275610027,0.2424,0.903541265776482,0.7576
1978,0.70751595793729,0.2424,0.921724801898501,0.7576
1979,0.681399888147997,0.2424,0.887701782371023,0.7576
1980,0.698562460622626,0.2424,0.910060527126923,0.7576
1981,0.691937277384299,0.2424,0.901429491120765,0.7576
1982,0.688372719187002,0.2424,0.896785720670925,0.7576
1983,0.690741302812369,0.2424,0.899871421068745,0.7576
1984,0.671228020753002,0.2424,0.874450261533353,0.7576
1985,0.686058978017999,0.2424,0.893771466933298,0.7576
1986,0.693302459457493,0.2424,0.903207998251033,0.7576
1987,0.709137072452341,0.2424,0.923836728051512,0.7576
1988,0.679428120560716,0.2424,0.885133038771125,0.7576
1989,0.689217736326485,0.2424,0.897886576767176,0.7576
1990,0.678900654096508,0.2424,0.884445875581693,0.7576
1991,0.677400865291689,0.2424,0.88249200793602,0.7576
1992,0.703830993079167,0.2424,0.916924170243833,0.7576
1993,0.666329486626372,0.2424,0.868068638127113,0.7576
1994,0.702820361700272,0.2424,0.915607558233808,0.7576
1995,0.681680448760755,0.2424,0.888067286035376,0.7576
1996,0.673197526365649,0.2424,0.87701605831898,0.7576
1997,0.683368461546641,0.2424,0.890266364703805,0.7576
1998,0.693002681465251,0.2424,0.90281745891773,0.7576
1999,0.674899613792814,0.2424,0.879233472893191,0.7576
2000,0.684422203828473,0.2424,0.891639139953716,0.7576
2001,0.703113929432149,0.2424,0.915990007076796,0.7576
2002,0.686071553150703,0.2424,0.893787849336507,0.7576
2003,0.686841509657545,0.2424,0.894790919303732,0.7576
2004,0.698091779623054,0.2424,0.909447341874744,0.7576
2005,0.688653278911771,0.2424,0.897151223178441,0.7576
2006,0.690546638254479,0.2424,0.899617819508179,0.7576
2007,0.698031487369392,0.2424,0.909368795426515,0.7576
2008,0.665639141365189,0.2424,0.867169282653972,0.7576
2009,0.672715233448327,0.2424,0.876387745503292,0.7576
2010,0.674186009217621,0.2424,0.878303816072982,0.7576
2011,0.668527312298569,0.2424,0.870931881577083,0.7576
2012,0.668232142043965,0.2424,0.870547345028616,0.7576
2013,0.68953976775457,0.2424,0.898306107027839,0.7576
2014,0.678222711404715,0.2424,0.883562677702859,0.7576
2015,0.715652449897842,0.2424,0.932324713259305,0.7576
2016,0.702498236250422,0.2424,0.915187905485177,0.7576
2017,0.670357054789123,0.2424,0.873315600298492,0.7576
2018,0.690814837933147,0.2424,0.899967219819108,0.7576
2019,0.684324201504466,0.24,0.900426580926929,0.76
