SpawnerYr	FosterCount	SmoltYr	passprob	SmoltAParameter	femalesmolts	smoltsurvival	Adults
1991	1000	1993	0.334	19.1	16024	1.56	250
1992	1000	1994	0.331	18.9	15892	1.90	303
1993	1000	1995	0.333	19.0	15964	2.08	332
1994	1000	1996	0.336	19.2	16079	2.77	445
1995	1000	1997	0.335	19.1	16059	1.90	306
1996	1000	1998	0.332	18.9	15918	2.77	441
1997		1999	0.334	19.1	6460	4.68	302
1998		2000	0.331	18.9	7794	7.70	600
1999		2001	0.330	18.8	7350	2.30	169
2000		2002	0.333	19.0	7732	1.80	139
2001		2003	0.334	19.1	7338	2.25	165
2002		2004	0.331	18.9	9167	1.4	124
2003		2005	0.330	18.8	7221	1.4	97
2004		2006	0.333	19.0	3698	3.4	124
2005		2007	0.331	18.9	3248	5.0	161
2006	226	2008	0.332	19.0	3006	7.2	216
2007	111	2009	0.333	19.0	2393	6.4	153
2008	127	2010	0.331	18.9	2392	4.1	97
2009	106	2011	0.333	19.0	3005	2.3	69
2010	271	2012	0.333	19.0	3945	4.4	174
2011	198	2013	0.331	18.9	3779	3.6	134
2012	179	2014	0.333	19.0	2702	2.4	65
2013	168	2015	0.330	18.9	1817	1.2	22
2014	128	2016	0.331	18.9	2650	2.5	67
2015	81	2017	0.333	19.0	3124	1.7	53
2016	133	2018	0.331	18.9	2130	2.4	50
2017	10	2019	0.330	18.8	992		
2018	16						
2019	79						
2020	109						
2021	19						
