"","year","month","sex"
"1",2003,11,1
"2",2003,11,1
"3",2003,11,3
"4",2003,11,3
"5",2003,11,3
"6",2003,11,3
"7",2003,11,1
"8",2003,11,1
"9",2003,11,3
"10",2003,11,1
"11",2003,11,3
"12",2003,11,3
"13",2003,11,3
"14",2003,11,1
"15",2003,11,1
"16",2003,11,1
"17",2003,11,1
"18",2003,11,1
"19",2003,11,1
"20",2003,11,5
"21",2003,11,3
"22",2003,11,1
"23",2003,11,1
"24",2003,11,1
"25",2003,11,1
"26",2003,11,1
"27",2003,11,1
"28",2003,11,1
"29",2003,11,1
"30",2003,11,1
"31",2003,11,1
"32",2003,11,1
"33",2003,11,1
"34",2003,11,1
"35",2003,11,1
"36",2003,11,1
"37",2003,11,1
"38",2003,11,1
"39",2003,11,3
"40",2003,11,3
"41",2003,11,3
"42",2003,11,1
"43",2003,11,1
"44",2003,11,1
"45",2003,11,1
"46",2003,11,1
"47",2003,11,3
"48",2003,11,1
"49",2003,11,1
"50",2003,11,1
"51",2003,11,3
"52",2003,11,1
"53",2003,11,1
"54",2003,11,1
"55",2003,11,5
"56",2003,11,1
"57",2003,11,1
"58",2003,11,1
"59",2003,11,3
"60",2003,11,3
"61",2003,11,1
"62",2003,11,3
"63",2003,11,3
"64",2003,11,3
"65",2003,11,3
"66",2003,3,3
"67",2003,3,1
"68",2003,3,3
"69",2003,3,1
"70",2003,3,3
"71",2003,3,3
"72",2003,3,1
"73",2003,3,3
"74",2003,3,1
"75",2003,3,1
"76",2003,3,1
"77",2003,3,3
"78",2003,3,1
"79",2003,3,1
"80",2003,3,1
"81",2003,3,1
"82",2003,3,3
"83",2003,3,3
"84",2003,3,3
"85",2003,3,3
"86",2003,3,1
"87",2003,3,3
"88",2003,3,3
"89",2003,3,3
"90",2003,3,3
"91",2003,3,3
"92",2003,3,3
"93",2003,3,3
"94",2003,3,1
"95",2003,3,3
"96",2003,3,1
"97",2003,3,3
"98",2003,3,3
"99",2003,3,1
"100",2003,3,3
"101",2003,3,3
"102",2003,3,3
"103",2003,3,1
"104",2003,3,3
"105",2003,3,1
"106",2003,11,1
"107",2003,11,1
"108",2003,11,1
"109",2003,11,1
"110",2003,11,1
"111",2003,11,3
"112",2003,11,1
"113",2003,11,5
"114",2003,11,1
"115",2003,11,1
"116",2003,11,1
"117",2003,11,1
"118",2003,11,1
"119",2003,11,1
"120",2003,11,1
"121",2003,11,1
"122",2003,11,1
"123",2003,11,1
"124",2003,11,1
"125",2003,11,1
"126",2003,11,1
"127",2003,11,1
"128",2003,11,1
"129",2003,11,0
"130",2003,11,1
"131",2003,11,1
"132",2003,11,1
"133",2003,11,1
"134",2003,11,1
"135",2003,11,1
"136",2003,11,1
"137",2003,11,1
"138",2003,11,1
"139",2003,11,1
"140",2003,11,1
"141",2003,11,1
"142",2003,11,3
"143",2003,11,1
"144",2003,11,1
"145",2003,11,1
"146",2003,11,1
"147",2003,11,1
"148",2003,11,1
"149",2003,11,1
"150",2003,11,1
"151",2003,11,1
"152",2003,11,1
"153",2003,11,1
"154",2003,11,1
"155",2003,11,1
"156",2003,11,1
"157",2003,11,1
"158",2003,11,1
"159",2003,11,1
"160",2003,11,1
"161",2003,11,1
"162",2003,11,3
"163",2003,11,1
"164",2003,11,1
"165",2003,11,1
"166",2003,11,1
"167",2003,11,1
"168",2003,11,1
"169",2003,11,1
"170",2003,11,1
"171",2003,11,1
"172",2003,11,1
"173",2003,11,1
"174",2003,11,1
"175",2003,11,5
"176",2003,11,5
"177",2003,11,1
"178",2003,11,1
"179",2003,11,1
"180",2003,11,1
"181",2003,11,1
"182",2003,11,1
"183",2003,11,1
"184",2003,11,1
"185",2003,11,1
"186",2003,11,3
"187",2003,11,3
"188",2003,11,1
"189",2003,11,1
"190",2003,11,1
"191",2003,11,1
"192",2003,11,3
"193",2003,11,3
"194",2003,11,5
"195",2003,11,3
"196",2003,11,1
"197",2003,11,1
"198",2003,11,1
"199",2003,11,3
"200",2003,11,1
"201",2003,11,1
"202",2003,11,3
"203",2003,11,3
"204",2003,11,3
"205",2003,11,3
"206",2003,11,1
