x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.7448,0.24,0.98,0.76
1948,0.7448,0.24,0.98,0.76
1949,0.7448,0.24,0.98,0.76
1950,0.7448,0.24,0.98,0.76
1951,0.7448,0.24,0.979999999999999,0.76
1952,0.7448,0.24,0.980000000000001,0.76
1953,0.7448,0.24,0.979999999999999,0.76
1954,0.7448,0.24,0.979999999999999,0.76
1955,0.7448,0.24,0.98,0.76
1956,0.7448,0.24,0.979999999999999,0.76
1957,0.7448,0.24,0.979999999999999,0.76
1958,0.7448,0.24,0.98,0.76
1959,0.7448,0.24,0.98,0.76
1960,0.7448,0.24,0.98,0.76
1961,0.7448,0.24,0.98,0.76
1962,0.7448,0.24,0.98,0.76
1963,0.7448,0.24,0.98,0.76
1964,0.7448,0.24,0.98,0.76
1965,0.7448,0.24,0.980000000000001,0.76
1966,0.7448,0.24,0.98,0.76
1967,0.7448,0.24,0.98,0.76
1968,0.7448,0.24,0.980000000000001,0.76
1969,0.7448,0.24,0.98,0.76
1970,0.7448,0.24,0.979999999999999,0.76
1971,0.7448,0.24,0.98,0.76
1972,0.7448,0.24,0.98,0.76
1973,0.7448,0.24,0.98,0.76
1974,0.7448,0.24,0.979999999999999,0.76
1975,0.7448,0.24,0.98,0.76
1976,0.7448,0.24,0.98,0.76
1977,0.7448,0.24,0.980000000000001,0.76
1978,0.7448,0.24,0.98,0.76
1979,0.7448,0.24,0.979999999999999,0.76
1980,0.7448,0.24,0.98,0.76
1981,0.7448,0.24,0.979999999999999,0.76
1982,0.7448,0.24,0.979999999999999,0.76
1983,0.7448,0.24,0.98,0.76
1984,0.7448,0.24,0.980000000000001,0.76
1985,0.7448,0.24,0.98,0.76
1986,0.7448,0.24,0.979999999999999,0.76
1987,0.7448,0.24,0.98,0.76
1988,0.744800000000001,0.24,0.980000000000002,0.76
1989,0.7448,0.24,0.979999999999999,0.76
1990,0.7448,0.24,0.98,0.76
1991,0.744799999999999,0.24,0.98,0.76
1992,0.7448,0.24,0.98,0.76
1993,0.7448,0.24,0.979999999999999,0.76
1994,0.7448,0.24,0.98,0.76
1995,0.7448,0.24,0.979999999999999,0.76
1996,0.7448,0.24,0.98,0.76
1997,0.7448,0.24,0.98,0.76
1998,0.7448,0.24,0.980000000000001,0.76
1999,0.7448,0.24,0.98,0.76
2000,0.7448,0.24,0.98,0.76
2001,0.7448,0.24,0.980000000000001,0.76
2002,0.744799999999999,0.24,0.979999999999999,0.76
2003,0.7448,0.24,0.979999999999999,0.76
2004,0.7448,0.24,0.979999999999999,0.76
2005,0.7448,0.24,0.98,0.76
2006,0.7448,0.24,0.98,0.76
2007,0.7448,0.24,0.979999999999999,0.76
2008,0.7448,0.24,0.98,0.76
2009,0.7448,0.24,0.98,0.76
2010,0.7448,0.24,0.980000000000001,0.76
2011,0.7448,0.24,0.98,0.76
2012,0.7448,0.24,0.98,0.76
2013,0.7448,0.24,0.98,0.76
2014,0.7448,0.24,0.98,0.76
2015,0.7448,0.24,0.979999999999999,0.76
2016,0.7448,0.24,0.980000000000001,0.76
2017,0.7448,0.24,0.98,0.76
2018,0.7448,0.24,0.98,0.76
2019,0.33516,0.108,0.98,0.892
