x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.672078092040679,0.24,0.884313279000893,0.76
1948,0.681448287937796,0.24,0.89664248412868,0.76
1949,0.689749796765548,0.24,0.907565522059931,0.76
1950,0.668832350371632,0.24,0.880042566278462,0.76
1951,0.676819369113656,0.24,0.890551801465337,0.76
1952,0.697636986130443,0.24,0.917943402803214,0.76
1953,0.679579152003705,0.24,0.894183094741717,0.76
1954,0.685049920680463,0.24,0.901381474579556,0.76
1955,0.669988810426029,0.24,0.881564224244776,0.76
1956,0.680462886936059,0.24,0.895345903863236,0.76
1957,0.692387041891354,0.24,0.911035581435991,0.76
1958,0.685662613614789,0.24,0.902187649493143,0.76
1959,0.677237865559195,0.24,0.891102454683151,0.76
1960,0.683119217447041,0.24,0.898841075588212,0.76
1961,0.682018045985651,0.24,0.897392165770594,0.76
1962,0.681098084571372,0.24,0.89618169022549,0.76
1963,0.686444323446012,0.24,0.903216215060541,0.76
1964,0.681828172311856,0.24,0.897142331989284,0.76
1965,0.695782813139809,0.24,0.915503701499749,0.76
1966,0.683450468306847,0.24,0.899276931982692,0.76
1967,0.68281275731277,0.24,0.898437838569434,0.76
1968,0.673459566112082,0.24,0.886131008042213,0.76
1969,0.685346290037909,0.24,0.901771434260408,0.76
1970,0.682283710738353,0.24,0.897741724655727,0.76
1971,0.674365235267048,0.24,0.887322677982957,0.76
1972,0.688663945425584,0.24,0.90613677029682,0.76
1973,0.684178494754315,0.24,0.900234861518836,0.76
1974,0.685276121373314,0.24,0.90167910707015,0.76
1975,0.677861599827883,0.24,0.891923157668267,0.76
1976,0.699000508223609,0.24,0.919737510820538,0.76
1977,0.684093076522746,0.24,0.900122469108876,0.76
1978,0.687463870522892,0.24,0.904557724372226,0.76
1979,0.69245543839477,0.24,0.911125576835223,0.76
1980,0.685644483346216,0.24,0.902163793876602,0.76
1981,0.68227592541735,0.24,0.897731480812302,0.76
1982,0.678812666586644,0.24,0.893174561298216,0.76
1983,0.680918194691299,0.24,0.895944993014867,0.76
1984,0.675719116645691,0.24,0.889104100849592,0.76
1985,0.681836155143941,0.24,0.897152835715712,0.76
1986,0.68200461277736,0.24,0.897374490496527,0.76
1987,0.701471282487461,0.24,0.922988529588766,0.76
1988,0.682580172529546,0.24,0.898131805959929,0.76
1989,0.688670754565478,0.24,0.906145729691418,0.76
1990,0.681594279672976,0.24,0.896834578517074,0.76
1991,0.682057863373552,0.24,0.897444557070464,0.76
1992,0.690373717134928,0.24,0.908386469914379,0.76
1993,0.692531008064584,0.24,0.911225010611294,0.76
1994,0.683861357106355,0.24,0.89981757513994,0.76
1995,0.679384784885617,0.24,0.893927348533707,0.76
1996,0.677251293105411,0.24,0.89112012250712,0.76
1997,0.680637440475959,0.24,0.895575579573631,0.76
1998,0.680850386766028,0.24,0.895855772060562,0.76
1999,0.681288481369707,0.24,0.896432212328561,0.76
2000,0.695619038961028,0.24,0.915288209159248,0.76
2001,0.685051128487734,0.24,0.901383063799649,0.76
2002,0.695514218354266,0.24,0.915150287308244,0.76
2003,0.692237947248378,0.24,0.910839404274182,0.76
2004,0.681700997508513,0.24,0.896974996721728,0.76
2005,0.685585336422891,0.24,0.902085968977488,0.76
2006,0.679626536581503,0.24,0.894245442870399,0.76
2007,0.685684767464952,0.24,0.902216799295991,0.76
2008,0.684467809742624,0.24,0.900615539135031,0.76
2009,0.685686629126314,0.24,0.902219248850413,0.76
2010,0.680436234137256,0.24,0.895310834391127,0.76
2011,0.685239089818411,0.24,0.901630381340015,0.76
2012,0.678333209464405,0.24,0.892543696663691,0.76
2013,0.682504409232254,0.24,0.898032117410861,0.76
2014,0.682209346960536,0.24,0.897643877579653,0.76
2015,0.69393168841887,0.24,0.91306801107746,0.76
2016,0.675244045009732,0.24,0.888479006591752,0.76
2017,0.679429646393126,0.24,0.893986376833061,0.76
2018,0.69686933925659,0.24,0.916933341127092,0.76
2019,0.31654447167232,0.108,0.925568630620818,0.892
