alt.dam.age,n.yr,DPE,DPS
NAA_DET_age0,73,0.499703296604894,0.591481800582469
NAA_DET_age1,73,0.559250976132828,0.487372095294117
NAA_DET_age2,73,0.559250976132828,0.472747589056831
NAA_FOS_age0,73,0.442399454369425,0.78158260945674
NAA_FOS_age1,73,0.387852552514831,0.801077462972079
NAA_FOS_age2,73,0.387852552514831,0.697925169016805
Alt1_DET_age0,73,0.901268094828876,0.946708779029428
Alt1_DET_age1,73,0.9057980270034,0.959111291638644
Alt1_DET_age2,73,0.9057980270034,0.958490493540914
Alt1_FOS_age0,73,0.761808219178082,0.98
Alt1_FOS_age1,73,0.757632876712329,0.98
Alt1_FOS_age2,73,0.757632876712329,0.98
Alt1_GPR_age0,73,0.892953037919855,0.950167289072447
Alt1_GPR_age1,73,0.896383539460577,0.951712920759596
Alt1_GPR_age2,73,0.896383539460577,0.950434852174749
Alt2a_DET_age0,73,0.934376319644486,0.95840058867566
Alt2a_DET_age1,73,0.938164659306284,0.971708036814262
Alt2a_DET_age2,73,0.938164659306284,0.971504025383821
Alt2a_FOS_age0,73,0.761808219178082,0.79083103189858
Alt2a_FOS_age1,73,0.757632876712329,0.98
Alt2a_FOS_age2,73,0.757632876712329,0.98
Alt2a_GPR_age0,73,0.269936171468804,0.757771815339819
Alt2a_GPR_age1,73,0.545956538179938,0.698500712759974
Alt2a_GPR_age2,73,0.545956538179938,0.68720580706036
Alt2b_DET_age0,73,0.934376650700723,0.958390834725906
Alt2b_DET_age1,73,0.938164692411907,0.971714175252729
Alt2b_DET_age2,73,0.938164692411907,0.971509944903975
Alt2b_FOS_age0,73,0.761808219178082,0.98
Alt2b_FOS_age1,73,0.757632876712329,0.98
Alt2b_FOS_age2,73,0.757632876712329,0.98
Alt2b_GPR_age0,73,0.268534499834917,0.755446158831286
Alt2b_GPR_age1,73,0.543458580345731,0.690588073969542
Alt2b_GPR_age2,73,0.543458580345731,0.683054629157927
Alt3a_DET_age0,73,0.615211634864528,0.680425436997389
Alt3a_DET_age1,73,0.64721850575035,0.810386287815241
Alt3a_DET_age2,73,0.64721850575035,0.809795496413235
Alt3a_FOS_age0,73,0.43856962133308,0.781563761755673
Alt3a_FOS_age1,73,0.387825257096576,0.800557475307519
Alt3a_FOS_age2,73,0.387825257096576,0.695910216816636
Alt3a_GPR_age0,73,0.26361401148616,0.757519992396337
Alt3a_GPR_age1,73,0.545916485772493,0.694008529579603
Alt3a_GPR_age2,73,0.545916485772493,0.686695883550367
Alt3b_DET_age0,73,0.617757950947327,0.649350192940402
Alt3b_DET_age1,73,0.617757950947327,0.649350192940402
Alt3b_DET_age2,73,0.617757950947327,0.649350192940402
Alt3b_FOS_age0,73,0.479604655387641,0.778649470877025
Alt3b_FOS_age1,73,0.388386661535628,0.801969471582851
Alt3b_FOS_age2,73,0.388386661535628,0.70138170238355
Alt3b_GPR_age0,73,0.313166974926459,0.786521909475548
Alt3b_GPR_age1,73,0.286636140195494,0.926427198680823
Alt3b_GPR_age2,73,0.286636140195494,0.925929920330395
Alt4_DET_age0,73,0.908754721676945,0.958338724343249
Alt4_DET_age1,73,0.911916257259612,0.971697777996963
Alt4_DET_age2,73,0.911916257259612,0.971493454757931
Alt4_FOS_age0,73,0.761808219178082,0.900261399913492
Alt4_FOS_age1,73,0.757632876712329,0.892338718021366
Alt4_FOS_age2,73,0.757632876712329,0.837205435663005
